id,image_id,caption_text
39,"1012212859_01547e3f17.jpg,""Dog","with orange ball at feet , stands on shore shaking off water"""
40,"1012212859_01547e3f17.jpg,White",dog playing with a red ball on the shore near the water .
41,"1012212859_01547e3f17.jpg,White",dog with brown ears standing near water with head turned to one side .
42,"1015118661_980735411b.jpg,A",boy smiles in front of a stony wall in a city .
43,"1015118661_980735411b.jpg,A",little boy is standing on the street while a man in overalls is working on a stone wall .
44,"1015118661_980735411b.jpg,A",young boy runs aross the street .
45,"1015118661_980735411b.jpg,A",young child is walking on a stone paved street with a metal pole and a man behind him .
46,"1015118661_980735411b.jpg,Smiling",boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .
47,"1015584366_dfcec3c85a.jpg,A",black dog leaps over a log .
48,"1015584366_dfcec3c85a.jpg,A",grey dog is leaping over a fallen tree .
49,"1015584366_dfcec3c85a.jpg,A",large black dog leaps a fallen log .
50,"1015584366_dfcec3c85a.jpg,A",mottled black and grey dog in a blue collar jumping over a fallen tree .
51,"1015584366_dfcec3c85a.jpg,The",black dog jumped the tree stump .
52,"101654506_8eb26cfb60.jpg,A",brown and white dog is running through the snow .
53,"101654506_8eb26cfb60.jpg,A",dog is running in the snow
54,"101654506_8eb26cfb60.jpg,A",dog running through snow .
55,"101654506_8eb26cfb60.jpg,a",white and brown dog is running through a snow covered field .
56,"101654506_8eb26cfb60.jpg,The",white and brown dog is running over the surface of the snow .
57,"101669240_b2d3e7f17b.jpg,A",man in a hat is displaying pictures next to a skier in a blue hat .
58,"101669240_b2d3e7f17b.jpg,A",man skis past another man displaying paintings in the snow .
59,"101669240_b2d3e7f17b.jpg,A",person wearing skis looking at framed pictures set up in the snow .
60,"101669240_b2d3e7f17b.jpg,A",skier looks at framed pictures in the snow next to trees .
61,"101669240_b2d3e7f17b.jpg,Man",on skis looking at artwork for sale in the snow
62,"1016887272_03199f49c4.jpg,A",collage of one person climbing a cliff .
63,"1016887272_03199f49c4.jpg,A",group of people are rock climbing on a rock climbing wall .
64,"1016887272_03199f49c4.jpg,A",group of people climbing a rock while one man belays
65,"1016887272_03199f49c4.jpg,Seven",climbers are ascending a rock face whilst another man stands holding the rope .
66,"1016887272_03199f49c4.jpg,Several",climbers in a row are climbing the rock while the man in red watches and holds the line .
67,"1019077836_6fc9b15408.jpg,A",brown dog chases the water from a sprinkler on a lawn .
68,"1019077836_6fc9b15408.jpg,a",brown dog plays with the hose .
69,"1019077836_6fc9b15408.jpg,A",brown dog running on a lawn near a garden hose
70,"1019077836_6fc9b15408.jpg,A",dog is playing with a hose .
71,"1019077836_6fc9b15408.jpg,Large",brown dog running away from the sprinkler in the grass .
72,"1019604187_d087bf9a5f.jpg,A",dog prepares to catch a thrown object in a field with nearby cars .
73,"1019604187_d087bf9a5f.jpg,A",white dog is about to catch a yellow ball in its mouth .
74,"1019604187_d087bf9a5f.jpg,A",white dog is about to catch a yellow dog toy .
75,"1019604187_d087bf9a5f.jpg,A",white dog is ready to catch a yellow ball flying through the air .
76,"1019604187_d087bf9a5f.jpg,A",white dog running after a yellow ball
77,"1020651753_06077ec457.jpg,a",black and white dog jumping in the air to get a toy .
78,"1020651753_06077ec457.jpg,A",black and white dog jumps up towards a yellow toy .
79,"1020651753_06077ec457.jpg,A",dog leaps to catch a ball in a field .
80,"1020651753_06077ec457.jpg,A",white dog is trying to catch a ball in midair over a grassy field .
81,"1020651753_06077ec457.jpg,The",white dog is playing in a green field with a yellow toy .
82,"1022454332_6af2c1449a.jpg,A",child and a woman are at waters edge in a big city .
83,"1022454332_6af2c1449a.jpg,a",large lake with a lone duck swimming in it with several people around the edge of it .
84,"1022454332_6af2c1449a.jpg,A",little boy at a lake watching a duck .
85,"1022454332_6af2c1449a.jpg,A",young boy waves his hand at the duck in the water surrounded by a green park .
86,"1022454332_6af2c1449a.jpg,""Two","people are at the edge of a lake , facing the water and the city skyline ."""
87,"1022454428_b6b660a67b.jpg,""A","couple and an infant , being held by the male , sitting next to a pond with a near by stroller ."""
88,"1022454428_b6b660a67b.jpg,A",couple sit on the grass with a baby and stroller .
89,"1022454428_b6b660a67b.jpg,A",couple with their newborn baby sitting under a tree facing a lake .
90,"1022454428_b6b660a67b.jpg,A",man and woman care for an infant along the side of a body of water .
91,"1022454428_b6b660a67b.jpg,Couple",with a baby sit outdoors next to their stroller .
92,"1022975728_75515238d8.jpg,A",black dog running in the surf .
93,"1022975728_75515238d8.jpg,A",black lab with tags frolicks in the water .
94,"1022975728_75515238d8.jpg,A",dog splashes in the water
95,"1022975728_75515238d8.jpg,The",black dog runs through the water .
96,"1022975728_75515238d8.jpg,This",is a black dog splashing in the water .
97,"102351840_323e3de834.jpg,A",man drilling a hole in the ice .
98,"102351840_323e3de834.jpg,A",man is drilling through the frozen ice of a pond .
99,"102351840_323e3de834.jpg,A",person in the snow drilling a hole in the ice .
100,"102351840_323e3de834.jpg,A",person standing on a frozen lake .
101,"102351840_323e3de834.jpg,Two",men are ice fishing .
102,"1024138940_f1fefbdce1.jpg,Two",different breeds of brown and white dogs play on the beach .
103,"1024138940_f1fefbdce1.jpg,Two",dogs are making a turn on a soft sand beach .
104,"1024138940_f1fefbdce1.jpg,Two",dogs playing in the sand at the beach .
105,"1024138940_f1fefbdce1.jpg,Two",dogs playing together on a beach .
106,"1024138940_f1fefbdce1.jpg,Two",large tan dogs play along a sandy beach .
107,"102455176_5f8ead62d5.jpg,A",man uses ice picks and crampons to scale ice .
108,"102455176_5f8ead62d5.jpg,an",ice climber in a blue jacket and black pants is scaling a frozen ice wall .
109,"102455176_5f8ead62d5.jpg,An",ice climber scaling a frozen waterfall .
110,"102455176_5f8ead62d5.jpg,A",person in blue and red ice climbing with two picks .
111,"102455176_5f8ead62d5.jpg,Climber",climbing an ice wall
112,"1026685415_0431cbf574.jpg,A",black dog carries a green toy in his mouth as he walks through the grass .
113,"1026685415_0431cbf574.jpg,A",black dog carrying something through the grass .
114,"1026685415_0431cbf574.jpg,A",black dog has a blue toy in its mouth .
115,"1026685415_0431cbf574.jpg,A",dog in grass with a blue item in his mouth .
116,"1026685415_0431cbf574.jpg,A",wet black dog is carrying a green toy through the grass .
117,"1028205764_7e8df9a2ea.jpg,A",man and a baby are in a yellow kayak on water .
118,"1028205764_7e8df9a2ea.jpg,A",man and a little boy in blue life jackets are rowing a yellow canoe .
119,"1028205764_7e8df9a2ea.jpg,A",man and child kayak through gentle waters .
120,"1028205764_7e8df9a2ea.jpg,A",man and young boy ride in a yellow kayak .
121,"1028205764_7e8df9a2ea.jpg,Man",and child in yellow kayak
122,"1030985833_b0902ea560.jpg,A",black dog and a brown dog are jumping up to catch a red toy .
123,"1030985833_b0902ea560.jpg,A",black dog and a brown dog play with a red toy on a courtyard .
124,"1030985833_b0902ea560.jpg,A",brown and black lab are outside and the black lab is catching a toy in its mouth .
125,"1030985833_b0902ea560.jpg,Black",dog snaps at red and black object as brown dog lunges .
126,"1030985833_b0902ea560.jpg,The",Chocolate Lab jumps too late to get the toy as the Black Lab captures it in the driveway .
127,"103106960_e8a41d64f8.jpg,A",boy with a stick kneeling in front of a goalie net
128,"103106960_e8a41d64f8.jpg,A",child in a red jacket playing street hockey guarding a goal .
129,"103106960_e8a41d64f8.jpg,A",young kid playing the goalie in a hockey rink .
130,"103106960_e8a41d64f8.jpg,A",young male kneeling in front of a hockey goal with a hockey stick in his right hand .
131,"103106960_e8a41d64f8.jpg,""Hockey","goalie boy in red jacket crouches by goal , with stick ."""
132,"103195344_5d2dc613a3.jpg,A",man in black is sitting next to a modern art structure in front of a glass building .
133,"103195344_5d2dc613a3.jpg,A",man sits and reads a newspaper by a sculpture outside of an office building .
134,"103195344_5d2dc613a3.jpg,a",man sits near a large statue .
135,"103195344_5d2dc613a3.jpg,A",man sitting in front of a metal sculpture in front of a building .
136,"103195344_5d2dc613a3.jpg,The",man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .
137,"103205630_682ca7285b.jpg,A",tent is being set up on the ice .
138,"103205630_682ca7285b.jpg,Two",men are about to enter an ice fishing tent on a snow covered lake .
139,"103205630_682ca7285b.jpg,two",men setting up a blue ice fishing hut on an iced over lake
140,"103205630_682ca7285b.jpg,""Two","men , standing on an ice , looking into something covered with a blue tarp ."""
141,"103205630_682ca7285b.jpg,Two",people standing outside a blue tent structure on a snowy surface .
142,"1032122270_ea6f0beedb.jpg,A",woman crouches near three dogs in a field .
143,"1032122270_ea6f0beedb.jpg,Three",dogs are playing on grassy hill with a blue sky .
144,"1032122270_ea6f0beedb.jpg,Three",dogs are standing in the grass and a person is sitting next to them
145,"1032122270_ea6f0beedb.jpg,Three",dogs on a grassy hill
146,"1032122270_ea6f0beedb.jpg,Three",dogs stand in a grassy field while a person kneels nearby .
147,"1032460886_4a598ed535.jpg,a",man is standing in front of a skyscraper
148,"1032460886_4a598ed535.jpg,A",man stands in front of a skyscraper .
149,"1032460886_4a598ed535.jpg,A",man stands in front of a very tall building .
150,"1032460886_4a598ed535.jpg,Behind",the man in a red shirt stands a large skyscraper .
151,"1032460886_4a598ed535.jpg,There",is a skyscraper in the distance with a man walking in front of the camera .
152,"1034276567_49bb87c51c.jpg,A",boy bites hard into a treat while he sits outside .
153,"1034276567_49bb87c51c.jpg,A",child biting into a baked good .
154,"1034276567_49bb87c51c.jpg,A",small boy putting something in his mouth with both hands .
155,"1034276567_49bb87c51c.jpg,The",boy eats his food outside at the table .
156,"1034276567_49bb87c51c.jpg,The",boy is eating pizza over a tin dish .
157,"104136873_5b5d41be75.jpg,People",sit on the mountainside and check out the view .
158,"104136873_5b5d41be75.jpg,Three",people are on a hilltop overlooking a green valley .
159,"104136873_5b5d41be75.jpg,Three",people hang out on top of a big hill .
160,"104136873_5b5d41be75.jpg,Three",people overlook a green valley .
161,"104136873_5b5d41be75.jpg,Three",people rest on a ledge above the moutains .
162,"1042020065_fb3d3ba5ba.jpg,A",boy in a green shirt is looking down at many inflatable boats .
163,"1042020065_fb3d3ba5ba.jpg,A",boy in a green shirt watches kayakers .
164,"1042020065_fb3d3ba5ba.jpg,A",boy looks over a railing at the many boats and rafts below in the water .
165,"1042020065_fb3d3ba5ba.jpg,A",young boy overlooking a crowd of inflatable boats .
166,"1042020065_fb3d3ba5ba.jpg,A",young boy wearing a jersey looks down over a ledge at many boats in the water .
167,"1042590306_95dea0916c.jpg,A",man and woman pose for the camera while another man looks on .
168,"1042590306_95dea0916c.jpg,A",man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on .
169,"1042590306_95dea0916c.jpg,A",multiracial couple posing for a picture
170,"1042590306_95dea0916c.jpg,""Asian","man and blond woman holding hands outdoors , man in background watches ."""
171,"1042590306_95dea0916c.jpg,Guy",in blue shirt biting hand of girl in black striped jacket while another guy watches
172,"1045521051_108ebc19be.jpg,A",person eats takeout while watching a small television .
173,"1045521051_108ebc19be.jpg,A",person sits on the floor and eats in front of a television .
174,"1045521051_108ebc19be.jpg,A",television with a picture of a girl on it .
175,"1045521051_108ebc19be.jpg,A",young man sits on the floor by the television with a fast food meal in front of him .
176,"1045521051_108ebc19be.jpg,Someone",is laying in front of the TV eating food .
177,"1048710776_bb5b0a5c7c.jpg,a",couple of several people sitting on a ledge overlooking the beach
178,"1048710776_bb5b0a5c7c.jpg,A",group of people sit on a wall at the beach .
179,"1048710776_bb5b0a5c7c.jpg,A",group of teens sit on a wall by a beach .
180,"1048710776_bb5b0a5c7c.jpg,Crowd",of people at the beach .
181,"1048710776_bb5b0a5c7c.jpg,Several",young people sitting on a rail above a crowded beach .
182,"1052358063_eae6744153.jpg,A",boy takes a jump on his skateboard while another boy with a skateboard watches .
183,"1052358063_eae6744153.jpg,A",child is performing a skateboard trick while another child with a skateboard leans on a wall .
184,"1052358063_eae6744153.jpg,A",little boy skateboarder is doing a trick on his board while another young skateboarder watches .
185,"1052358063_eae6744153.jpg,a",young boy skateboarder jumping on a platform on a skateboard .
186,"1052358063_eae6744153.jpg,Two",skateboarders .
187,"105342180_4d4a40b47f.jpg,""A","girl paddling down a large river , as seen from behind her ."""
188,"105342180_4d4a40b47f.jpg,A",woman kayaking down a river .
189,"105342180_4d4a40b47f.jpg,A",woman paddles a boat down a river .
190,"105342180_4d4a40b47f.jpg,A",woman with a paddle .
191,"105342180_4d4a40b47f.jpg,A",woman with a paddle sits in a boat on the water .
192,"1053804096_ad278b25f1.jpg,A",girl in pigtails splashes in the shallow water .
193,"1053804096_ad278b25f1.jpg,A",girls plays in the surf .
194,"1053804096_ad278b25f1.jpg,a",girl with pigtails is playing in the ocean by the beach .
195,"1053804096_ad278b25f1.jpg,A",girl with pigtails plays in the water .
196,"1053804096_ad278b25f1.jpg,A",young girl in pigtails plays in the water .
197,"1055623002_8195a43714.jpg,A",group of four children wearing pajamas have a pillow fight .
198,"1055623002_8195a43714.jpg,A",group of kids have a pillow-fight .
199,"1055623002_8195a43714.jpg,A",group of young children playing pillow fight on a bed .
200,"1055623002_8195a43714.jpg,Children",having a pillow fight .
201,"1055623002_8195a43714.jpg,Four",children are having a pillow fight .
202,"1055753357_4fa3d8d693.jpg,Two",constructions workers sit on a beam taking a break .
203,"1055753357_4fa3d8d693.jpg,Two",construction workers are sitting up on the side of a building .
204,"1055753357_4fa3d8d693.jpg,Two",construction workers sitting on an I-beam .
205,"1055753357_4fa3d8d693.jpg,Two",construction workers take a seat on a steel beam .
206,"1055753357_4fa3d8d693.jpg,Two",men take a break from construction .
207,"1056249424_ef2a2e041c.jpg,The",children are playing in the water .
208,"1056249424_ef2a2e041c.jpg,""Two","boys , one with a yellow and orange ball , play in some water in front of a field ."""
209,"1056249424_ef2a2e041c.jpg,Two",boys play in a puddle .
210,"1056249424_ef2a2e041c.jpg,Two",children play with a balloon in mud on a sunny day .
211,"1056249424_ef2a2e041c.jpg,Two",kids are running and playing in some water .
212,"1056338697_4f7d7ce270.jpg,A",blond woman in a blue shirt appears to wait for a ride .
213,"1056338697_4f7d7ce270.jpg,A",blond woman is on the street hailing a taxi .
214,"1056338697_4f7d7ce270.jpg,""A","woman is signaling is to traffic , as seen from behind ."""
215,"1056338697_4f7d7ce270.jpg,A",woman with blonde hair wearing a blue tube top is waving on the side of the street .
216,"1056338697_4f7d7ce270.jpg,The",woman in the blue dress is holding out her arm at oncoming traffic .
217,"1056359656_662cee0814.jpg,A",little girl looking at a brochure on train rides
218,"1056359656_662cee0814.jpg,a",young blond girl with a magizine in her hands
219,"1056359656_662cee0814.jpg,A",young girl on a train reads a book about train rides .
220,"1056359656_662cee0814.jpg,A",young girl sits on a seat and looks at a train pamphlet .
221,"1056359656_662cee0814.jpg,Child",sitting down looking at train ride brochure
222,"1056873310_49c665eb22.jpg,A",brown dog is running after a black dog on a rocky shore .
223,"1056873310_49c665eb22.jpg,A",brown dog is running after the black dog .
224,"1056873310_49c665eb22.jpg,Two",dogs playing on a beach .
225,"1056873310_49c665eb22.jpg,Two",dogs run across stones near a body of water .
226,"1056873310_49c665eb22.jpg,Two",dogs run towards each other on a rocky area with water in the background .
227,"1057089366_ca83da0877.jpg,A",boy descends off the end of a high diving board .
228,"1057089366_ca83da0877.jpg,A",child jumps off a high diving board into the pool .
229,"1057089366_ca83da0877.jpg,A",kid jumps off the diving board and into the swimming pool below .
230,"1057089366_ca83da0877.jpg,A",little kid is jumping off a high dive at the pool .
231,"1057089366_ca83da0877.jpg,The",boy is jumping off a high diving board into the pool .
232,"1057210460_09c6f4c6c1.jpg,A",guy stands by a window taking his overshirt off .
233,"1057210460_09c6f4c6c1.jpg,A",man in a tank top stands next to a chrome door .
234,"1057210460_09c6f4c6c1.jpg,A",man puts his shirt on near an elevator .
235,"1057210460_09c6f4c6c1.jpg,A",man stands by an elevator with his head down .
236,"1057210460_09c6f4c6c1.jpg,The",man is putting on his shirt near an elevator .
237,"1057251835_6ded4ada9c.jpg,A",light-colored dog runs on the beach .
238,"1057251835_6ded4ada9c.jpg,A",small yellow dog runs on a beach
239,"1057251835_6ded4ada9c.jpg,A",tan dog runs on a sandy beach .
240,"1057251835_6ded4ada9c.jpg,A",white dog is running down a rocky beach .
241,"1057251835_6ded4ada9c.jpg,Light",brown dog running along the beach .
242,"106490881_5a2dd9b7bd.jpg,A",boy in his blue swim shorts at the beach .
243,"106490881_5a2dd9b7bd.jpg,A",boy smiles for the camera at a beach .
244,"106490881_5a2dd9b7bd.jpg,A",young boy in swimming trunks is walking with his arms outstretched on the beach .
245,"106490881_5a2dd9b7bd.jpg,Children",playing on the beach .
246,"106490881_5a2dd9b7bd.jpg,The",boy is playing on the shore of an ocean .
247,"106514190_bae200f463.jpg,A",hiker standing high on a bluff overlooking the mountains below .
248,"106514190_bae200f463.jpg,a",person on ski 's looks from hill over snow covered landscape
249,"106514190_bae200f463.jpg,A",skier is overlooking a snow-covered mountain .
250,"106514190_bae200f463.jpg,A",skier is overlooking the beautiful white snow covered landscape .
251,"106514190_bae200f463.jpg,A",skier pauses on a mountaintop .
252,"1067180831_a59dc64344.jpg,A",black and white dog is attempting to catch a yellow and purple object in a low cut yard .
253,"1067180831_a59dc64344.jpg,A",black and white dog jumps after a yellow toy .
254,"1067180831_a59dc64344.jpg,a",black and white dog jumps to get the Frisbee .
255,"1067180831_a59dc64344.jpg,A",black dog is jumping up to catch a purple and green toy .
256,"1067180831_a59dc64344.jpg,A",dog jumps to catch a toy .
257,"1067675215_7336a694d6.jpg,A",man in blue shorts is laying in the street .
258,"1067675215_7336a694d6.jpg,A",man in blue shorts lays down outside in a parking lot .
259,"1067675215_7336a694d6.jpg,A",man laying down in middle of street during heavy traffic .
260,"1067675215_7336a694d6.jpg,A",man lies on a mat in a parking lot between a brown SUV and a yellow pickup with an open door .
261,"1067675215_7336a694d6.jpg,A",shirtless man is laying down in the middle of a busy street .
262,"1067790824_f3cc97239b.jpg,A",white and black dog and a brown dog in sandy terrain .
263,"1067790824_f3cc97239b.jpg,A",woolly dog chases a Doberman on a beach .
264,"1067790824_f3cc97239b.jpg,One",dog is chasing another one on the beach .
265,"1067790824_f3cc97239b.jpg,The",two large dogs are running through sand .
266,"1067790824_f3cc97239b.jpg,Two",large dogs chasing each other at the beach .
267,"1072153132_53d2bb1b60.jpg,A",black and white dog catches a toy in midair .
268,"1072153132_53d2bb1b60.jpg,A",dog and a tennis ball .
269,"1072153132_53d2bb1b60.jpg,""A","dog is jumping to catch a object thrown at it ,"""
270,"1072153132_53d2bb1b60.jpg,A",dog leaps while chasing a tennis ball through a grassy field .
271,"1072153132_53d2bb1b60.jpg,A",multicolor dog jumping to catch a tennis ball in a grassy field .
272,"107318069_e9f2ef32de.jpg,A",crowd watching air balloons at night .
273,"107318069_e9f2ef32de.jpg,A",group of hot air balloons lit up at night .
274,"107318069_e9f2ef32de.jpg,People",are watching hot air balloons in the park .
275,"107318069_e9f2ef32de.jpg,People",watching hot air balloons .
276,"107318069_e9f2ef32de.jpg,Seven",large balloons are lined up at nighttime near a crowd .
277,"1075716537_62105738b4.jpg,A",child with a helmet on his head rides a bike .
278,"1075716537_62105738b4.jpg,A",little boy rides a bike down a hill on a miniature dirt bike .
279,"1075716537_62105738b4.jpg,A",young boy in a helmet rides a bike on the road .
280,"1075716537_62105738b4.jpg,The",little boy rides his bicycle in a race .
281,"1075716537_62105738b4.jpg,The",young boy pedals quickly at a BMX race .
282,"107582366_d86f2d3347.jpg,A",group of eight people are gathered around a table at night .
283,"107582366_d86f2d3347.jpg,A",group of people gathered around in the dark .
284,"107582366_d86f2d3347.jpg,A",group of people sit around a table outside on a porch at night .
285,"107582366_d86f2d3347.jpg,A",group of people sit outdoors together at night .
286,"107582366_d86f2d3347.jpg,A",group of people sitting at a table in a darkened room .
287,"1075867198_27ca2e7efe.jpg,A",man in a brown shirt and dark shorts plays on the beach with his two black dogs .
288,"1075867198_27ca2e7efe.jpg,A",man in shorts with two black dogs holds a ball throwing toy at the beach .
289,"1075867198_27ca2e7efe.jpg,a",man playing with two black dogs on the beach
290,"1075867198_27ca2e7efe.jpg,A",man with two dogs on a beach
291,"1075867198_27ca2e7efe.jpg,Man",at the beach with two dogs .
292,"1075881101_d55c46bece.jpg,a",boy cleans the bubbles off his face .
293,"1075881101_d55c46bece.jpg,A",boy covered in suds has his face wiped clean .
294,"1075881101_d55c46bece.jpg,A",boy is covered in bubbles .
295,"1075881101_d55c46bece.jpg,A",child covered in foam is climbing on a black inflatable ramp .
296,"1075881101_d55c46bece.jpg,A",person covered in soapy water is getting cleaned off .
297,"1077546505_a4f6c4daa9.jpg,A",boy in blue shorts slides down a slide into a pool .
298,"1077546505_a4f6c4daa9.jpg,A",boy in blue swimming trunks slides down a yellow slide into a wading pool with inflatable toys floating in the water .
299,"1077546505_a4f6c4daa9.jpg,A",boy rides down a slide into a small backyard pool .
300,"1077546505_a4f6c4daa9.jpg,A",boy sliding down a slide into a pool with colorful tubes .
301,"1077546505_a4f6c4daa9.jpg,A",child is falling off a slide onto colored balloons floating on a pool of water .
302,"1077931201_1e0bb83105.jpg,A",man in a wetsuit is throwing a baby wearing a wetsuit up into the air .
303,"1077931201_1e0bb83105.jpg,A",man in a wetsuit is throwing a toddler up in the air and is ready to catch him .
304,"1077931201_1e0bb83105.jpg,A",man in water throwing a little boy up in the air and waiting for him to come down so he can catch him .
305,"1077931201_1e0bb83105.jpg,The",man is in the pool and throwing a small boy into the air .
306,"1077931201_1e0bb83105.jpg,""While","water droplets fly , a man throws a little boy up in the air ."""
307,"1079274291_9aaf896cc1.jpg,A",little boy sticks his tongue out for the camera . Another boy looks on .
308,"1079274291_9aaf896cc1.jpg,Two",boys make faces .
309,"1079274291_9aaf896cc1.jpg,""Two","young boys are looking at the camera , one smiling , the other sticking his tongue out ."""
310,"1079274291_9aaf896cc1.jpg,Two",young boys look up at the camera as one sticks out his tongue .
311,"1079274291_9aaf896cc1.jpg,two",young boys making silly faces .
312,"10815824_2997e03d76.jpg,A",blonde horse and a blonde girl in a black sweatshirt are staring at a fire in a barrel .
313,"10815824_2997e03d76.jpg,A",girl and her horse stand by a fire .
314,"10815824_2997e03d76.jpg,A",girl holding a horse 's lead behind a fire .
315,"10815824_2997e03d76.jpg,""A","man , and girl and two horses are near a contained fire ."""
316,"10815824_2997e03d76.jpg,Two",people and two horses watching a fire .
317,"1082252566_8c79beef93.jpg,""A","bulldog , a sheep dog , and a boxer standing in a yard ."""
318,"1082252566_8c79beef93.jpg,A",large brown dog is pushing a small Boston terrier with his face while anouther dog watches .
319,"1082252566_8c79beef93.jpg,A",large skinny dog stands near two smaller dogs int the dirt .
320,"1082252566_8c79beef93.jpg,There",are three dogs starring at a ball in the middle of them .
321,"1082252566_8c79beef93.jpg,Three",dogs of various sizes .
322,"1082379191_ec1e53f996.jpg,A",lady and a man with no shirt sit on a dock .
323,"1082379191_ec1e53f996.jpg,A",man and a woman are sitting on a dock together .
324,"1082379191_ec1e53f996.jpg,A",man and a woman sitting on a dock .
325,"1082379191_ec1e53f996.jpg,A",man and woman sitting on a deck next to a lake .
326,"1082379191_ec1e53f996.jpg,A",shirtless man and a woman sitting on a dock .
327,"1084040636_97d9633581.jpg,A",closeup of a white dog that is laying its head on its paws .
328,"1084040636_97d9633581.jpg,a",large white dog lying on the floor .
329,"1084040636_97d9633581.jpg,A",white dog has its head on the ground .
330,"1084040636_97d9633581.jpg,A",white dog is resting its head on a tiled floor with its eyes open .
331,"1084040636_97d9633581.jpg,A",white dog rests its head on the patio bricks .
332,"1084104085_3b06223afe.jpg,a",woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .
333,"1084104085_3b06223afe.jpg,A",woman in blue shorts and a white shirt is indoor rock climbing .
334,"1084104085_3b06223afe.jpg,The",girl is climbing a rock wall .
335,"1084104085_3b06223afe.jpg,""The","girl is in a harness , climbing rocks ."""
336,"1084104085_3b06223afe.jpg,Woman",climbing an artificial rock wall .
337,"1087168168_70280d024a.jpg,A",boy is jumping on an inflatable ring and a girl is watching him
338,"1087168168_70280d024a.jpg,A",boy jumping on a water jumphouse
339,"1087168168_70280d024a.jpg,A",teenage boy is jumping on an inflatable slide .
340,"1087168168_70280d024a.jpg,A",young boy jumping and a young girl seating in an inflatable pool .
341,"1087168168_70280d024a.jpg,Two",young kids are playing in the water on an inflated toy .
342,"1087539207_9f77ab3aaf.jpg,A",family playing on a tractor on a beautiful day
343,"1087539207_9f77ab3aaf.jpg,Children",ride a tractor in a field .
344,"1087539207_9f77ab3aaf.jpg,Several",children playing on a Polaris vehicle outdoors .
345,"1087539207_9f77ab3aaf.jpg,The",children played on the four wheeler in the field .
346,"1087539207_9f77ab3aaf.jpg,The",four kids are riding on an ATV in a field .
347,"1088767354_2acee738cf.jpg,A",woman in a red costume to the left of a man and woman standing together .
